Building Name,City,Height,Floors,Completion,Material,Use,Country
Bercy Plaza I,Guangzhou (CN),190.8,51,2007,,office,China
Bercy Plaza II,Guangzhou (CN),190.8,51,2007,,office,China
Evergrande Huazhi Residential Tower 1,Chengdu (CN),190.7,53,2015,,residential,China
Evergrande Huazhi Residential Tower 2,Chengdu (CN),190.7,53,2015,,residential,China
Hastin Avenue T1-2,Chongqing (CN),190.6,51,2017,concrete,residential / retail,China
Hastin Avenue T1-3,Chongqing (CN),190.6,51,2017,concrete,residential / retail,China
China Construction Bank,Xiamen (CN),190.6,43,2003,,office,China
Linping Xizi International Research Tower,Hangzhou (CN),190.2,35,2017,concrete,industrial,China
Yantai Shimao No. 2,Yantai (CN),190,59,2011,concrete,residential,China
LOHAS Park Hemera Amber Tower,Hong Kong (CN),190,56,2014,concrete,residential,China
LOHAS Park Hemera Topaz Tower,Hong Kong (CN),190,56,2014,concrete,residential,China
Baia de Praia Grande,Macau (CN),190,54,2009,concrete,residential,China
Hailrun Square,Chengdu (CN),190,49,2010,,office,China
Galaxy International Plaza,Nanjing (CN),190,45,2005,,hotel / office,China
Shenzhen Bay Ecocity B-Tech Tower 3,Shenzhen (CN),190,43,2018,,office,China
Pujiang International Finance Plaza,Shanghai (CN),190,42,2014,composite,office,China
Lujiazui Century Tower 1,Shanghai (CN),190,41,2014,concrete,office,China
International Air Service Center Tower 2,Shanghai (CN),190,39,2020,composite,office,China
Wanxiang City Tower 3,Hangzhou (CN),190,-,2014,concrete,residential,China
Fortune Plaza,Hefei (CN),189.9,48,2017,,office,China
Agile Corporation Headquarters Tower,Guangzhou (CN),189.7,39,2014,composite,office,China
Primrose Hill Tower 2,Hong Kong (CN),189.6,55,2010,concrete,residential,China
Jiayu Building,Guangzhou (CN),189.5,47,2015,concrete,hotel / office,China
Baidu Headquarters East Tower,Shenzhen (CN),189.3,43,2017,composite,office,China
Empire Capital Square Tower B,Chongqing (CN),189.2,42,2004,,residential / office,China
The Merton 2,Hong Kong (CN),189,56,2005,concrete,residential,China
Wenzhou Zhixin Plaza Residential Tower,Wenzhou (CN),189,50,2016,concrete,residential,China
Empire State Building Tower 1,Chongqing (CN),189,48,-,,serviced apartments / office,China
Park Place,Shanghai (CN),189,43,2008,concrete,office,China
Cathay Pacific Plaza 1,Ordos (CN),189,41,2014,composite,office,China
Cathay Pacific Plaza 2,Ordos (CN),189,41,2014,composite,office,China
The Centrium,Hong Kong (CN),188.9,41,2001,concrete,office,China
Guangzhou Marriott Hotel Tianhe,Guangzhou (CN),188.8,48,2004,,hotel,China
Crown Tree Building,Zhuhai (CN),188.8,40,2018,,hotel / office,China
New Era Plaza,Shenzhen (CN),188.7,38,1997,,office,China
Hastin Avenue T1-1,Chongqing (CN),188.6,51,2017,concrete,residential / retail,China
Phase I Residential Tower 1A,Changsha (CN),188.4,55,2015,concrete,residential,China
Neo Sky Dome Tower B,(CN),188.4,46,2010,concrete,residential,China
Jiyu Bridge Wanda Plaza,Wuhan (CN),188.3,42,2012,,office,China
Wuhan Starry Winking Residential Tower 4,Wuhan (CN),188.1,58,2016,concrete,residential,China
Wuhan Starry Winking Residential Tower 8,Wuhan (CN),188,61,2015,concrete,residential,China
Metro Town Tower 3,Hong Kong (CN),188,57,2006,concrete,residential,China
Metro Town Tower 5,Hong Kong (CN),188,57,2006,concrete,residential,China
Exchange Square #1,Hong Kong (CN),188,52,1985,concrete,office,China
Exchange Square #2,Hong Kong (CN),188,52,1985,concrete,office,China
Pearl International Business Center,Jinan (CN),188,49,2004,,hotel / office,China
Chengdu International Finance Square Tower 3,Chengdu (CN),188,48,2015,composite,hotel,China
HNA Mingguang Hotel,Haikou (CN),188,48,2009,,hotel,China
Golden Crown Tower,Tianjin (CN),188,47,2000,,office / hotel,China
Rui'an Center,Guangzhou (CN),188,46,2008,,serviced apartments / office,China
Northeast Electric Power Mansion,Shenyang (CN),188,43,1997,,office,China
Oxford House Time Warner,Hong Kong (CN),188,41,1999,,office,China
Raffles City Changning 1,Shanghai (CN),188,41,2017,concrete,office / retail,China
Jiangyin Howard Johnson International Apartment,Wuxi (CN),188,39,2012,,residential / hotel,China
Bao'an Tower,Shanghai (CN),188,38,1997,,office / hotel,China
Huaneng Union Tower,Shanghai (CN),188,38,1997,,office,China
Ningbo Fortune Center,Ningbo (CN),188,38,2014,,office,China
Ramada Plaza Pudong,Shanghai (CN),188,38,2001,,hotel / office,China
Zhe Jiang Fortune Financial Center - Tower 2,Hangzhou (CN),188,36,2011,composite,office,China
Huacheng Mansion,Hangzhou (CN),188,35,2007,,office,China
Seaworld Shangxi Garden Block A,Shenzhen (CN),187.9,52,2014,,residential,China
Seaworld Shangxi Garden Block B,Shenzhen (CN),187.9,52,2015,,residential,China
ABK Times Square Tower,Urumqi (CN),187.8,57,2011,,hotel / office,China
Moi Center Tower B,Shenyang (CN),187.8,54,2014,concrete,residential,China
China Resources Center Residential Building,Jinan (CN),187.8,44,2019,concrete,residential,China
Gold Peak Centre B,Chongqing (CN),187.8,42,2015,concrete,residential / residential / hotel / office,China
3 Financial Town T2,Chongqing (CN),187.8,38,2015,concrete,office,China
Vanke Jinyu Central Tower 2,Fuzhou (CN),187.6,59,2015,concrete,residential,China
Northeast Media Culture Plaza,Shenyang (CN),187.4,43,2011,concrete,office,China
9 Queen's Road Central,Hong Kong (CN),187.3,39,1991,steel,office,China
China Shine Plaza,Guangzhou (CN),187,45,2006,,office,China
Millennium City 5,Hong Kong (CN),187,45,2004,,office,China
Landmark East Tower 1,Hong Kong (CN),187,43,2008,concrete,office,China
Landmark East Tower 2,Hong Kong (CN),187,43,2008,concrete,hotel / office,China
Millennium Tower,Wuhan (CN),187,42,2016,,office / retail,China
Standard Chartered Bank,Hong Kong (CN),187,42,1990,steel,office,China
Shanghai Futures Tower,Shanghai (CN),187,37,1998,,office,China
Zibo Huijin Building,Zibo (CN),187,36,2013,,office,China
TA Tower Building,Hangzhou (CN),186.7,48,2016,,office,China
Festival City III Tower 5,Hong Kong (CN),186.5,58,2011,concrete,residential,China
Entertainment Building,Hong Kong (CN),186.5,32,1993,,office,China
Manhattan Hill 3,Hong Kong (CN),186.4,48,2007,concrete,residential,China
Manhattan Hill 5,Hong Kong (CN),186.4,48,2007,concrete,residential,China
Manhattan Hill 6,Hong Kong (CN),186.4,48,2007,concrete,residential,China
#1 Zhujiang Road Plaza,Nanjing (CN),186.2,53,2007,,office / hotel / retail,China
Sofitel Jinan Silver Plaza,Jinan (CN),186,53,1999,,hotel,China
Lippo Tower,Hong Kong (CN),186,48,1988,,office,China
Wuhan Plaza Office Tower,Wuhan (CN),186,48,1997,,office / retail,China
Dragon Building,Kunming (CN),186,47,2013,,office,China
Summer Palace Tower B,Shenyang (CN),186,47,2015,composite,hotel,China
Xiqi International Hotel,Nanchang (CN),186,46,2006,,hotel / office,China
Grand Hi-Lai Hotel,Kaohsiung (CN),186,45,1995,,hotel / retail,China
Beijing Yintai Centre - PICC Office Tower,Beijing (CN),186,42,2008,steel,office,China
Beijing Yintai Centre - Yintai Office Tower,Beijing (CN),186,42,2008,steel,office,China
Shanghai China Merchants Plaza Office Building,Shanghai (CN),186,39,1998,,office,China
China Merchants Tower,Shanghai (CN),186,38,1995,concrete,office,China
Riverview Plaza A3,Wuhan (CN),186,35,2016,concrete,office,China
Tongfang Times Square Tower A,Shenyang (CN),185.8,46,2016,,office,China
Tongfang Times Square Tower B,Shenyang (CN),185.8,46,2016,,office,China
COFCO Tianjin Joy City Office Tower,Tianjin (CN),185.6,35,2015,concrete,office,China
The Westpoint,Hong Kong (CN),185.6,41,1999,,office,China
Gold Peak Centre A,Chongqing (CN),185.5,41,2015,concrete,office / retail,China
The Praia Block 1,Macau (CN),185,56,2008,concrete,residential,China
The Praia Block 2,Macau (CN),185,56,2008,concrete,residential,China
The Praia Block 3,Macau (CN),185,56,2008,concrete,residential,China
The Praia Block 4,Macau (CN),185,56,2008,concrete,residential,China
Manhattan Heights,Hong Kong (CN),185,55,2000,concrete,residential,China
Tianjin Centre West Tower,Tianjin (CN),185,49,2009,concrete,hotel / office,China
Hongji Commercial Centre 2,Tianjin (CN),185,48,1999,,office,China
Nanjing Yilai International Plaza,Nanjing (CN),185,48,2004,concrete,office,China
Maoye World Tower A,Chengdu (CN),185,46,2014,,office,China
Excellence Century Plaza Tower 3,Shenzhen (CN),185,45,2010,composite,office,China
Twin Rivers International Office Tower B,Chengdu (CN),185,42,2015,composite,office,China
Zhengtang IBO Times Square,Wuhan (CN),185,41,2018,,office,China
Binhai Trade Tower,Tianjin (CN),185,40,2015,,office,China
Evergrande Huafu,Ningbo (CN),185,38,2017,,office / retail,China
Sino Plaza,Hong Kong (CN),185,38,1992,steel,office,China
"Aurora Plaza, Pudong",Shanghai (CN),185,37,2003,composite,office,China
PUFA Tower,Shanghai (CN),185,36,2000,concrete,office,China
AIA Central,Hong Kong (CN),185,35,2005,composite,office,China
Jiangsu Power Co. Headquarters,Nanjing (CN),185,35,2004,,office,China
Hunan Hydro Department,Changsha (CN),185,32,1998,,office,China
Vantone Center,Tianjin (CN),185,-,2016,composite,office,China
Festival City III Tower 1,Hong Kong (CN),184.7,58,2011,concrete,residential,China
Festival City III Tower 2,Hong Kong (CN),184.7,58,2011,concrete,residential,China
Festival City III Tower 3,Hong Kong (CN),184.7,58,2011,concrete,residential,China
Ying Li International Plaza T2,Chongqing (CN),184.4,48,2015,concrete,office / retail,China
Zhongguan Times Square Tower A,Shenzhen (CN),184.2,43,2017,,office,China
Yantai Shimao No. 3,Yantai (CN),184,56,2011,concrete,residential,China
Nison Plaza,Suzhou (CN),184,50,2013,composite,office,China
King's Plaza Tower B,Chongqing (CN),184,43,2002,,office,China
Fangda Square T1,Shenzhen (CN),184,39,2019,,office / retail,China
1 Financial Town T2,Chongqing (CN),183.9,34,2015,concrete,office,China
Ocean Pointe,Hong Kong (CN),183.7,53,2001,concrete,residential,China
Shenzhen Development Bank,Shenzhen (CN),183.6,35,1996,,office,China
Cadogan,Hong Kong (CN),183.5,49,2014,concrete,residential,China
Capital Mansion,Beijing (CN),183,52,1989,,residential / office,China
LOHAS Park Wings At Sea Tower 3,Hong Kong (CN),183,50,2018,concrete,residential,China
Vision City Tower 6,Hong Kong (CN),183,50,2007,concrete,residential,China
Wuxi Suning Plaza 2,Wuxi (CN),183,50,2014,concrete,residential,China
Towercrest International Plaza,Shenyang (CN),183,44,2003,,hotel / retail,China
Tsingdao Center Tower C,Qingdao (CN),183,43,2014,composite,residential,China
Taxation Bureau Building,Shenzhen (CN),182.8,40,2001,,office,China
Banyan Garden 5,Hong Kong (CN),182.7,54,2003,concrete,residential,China
Post and Communications Network Center,Tianjin (CN),182.6,26,1997,concrete,office,China
UNI-Center Tower 5,Shenzhen (CN),182.3,53,2017,concrete,residential,China
Chelsea Court 1,Hong Kong (CN),182.3,51,2005,concrete,residential,China
Branksome Crest,Hong Kong (CN),182,47,2003,concrete,residential,China
Luxury Mountainview,Dalian (CN),182,47,2010,,residential,China
Shenzhen International Science and Technology Building,Shenzhen (CN),182,45,1997,,office,China
Nanjing New World Center Tower A,Nanjing (CN),182,44,2003,,office,China
Nanjing New World Center Tower B,Nanjing (CN),182,44,2003,,residential,China
Junlin International,Wuhan (CN),182,40,2018,,office,China
Three Pacific Place,Hong Kong (CN),182,40,2004,concrete,office,China
Suning Ruicheng Phase 1 E07 #1,Nanjing (CN),182,39,2015,concrete,hotel / office,China
Lujiazui Financial Plaza 1,Tianjin (CN),182,38,2016,composite,office,China
Lujiazui Financial Plaza 2,Tianjin (CN),182,38,2016,composite,office,China
Sky Capital,Nanjing (CN),182,38,2006,,residential,China
Suning Ruicheng Phase 1 E08 #1,Nanjing (CN),182,29,2015,concrete,office,China
UNI-Center Tower 6,Shenzhen (CN),181.8,50,2017,concrete,residential,China
Nanning Logan Century 2,Nanning (CN),181.8,51,2017,,serviced apartments,China
One Silversea 1-3,Hong Kong (CN),181.7,45,2006,concrete,residential,China
One Silversea 5-6,Hong Kong (CN),181.7,45,2006,concrete,residential,China
One Silversea 7-8,Hong Kong (CN),181.7,45,2006,concrete,residential,China
R&F Ritz-Carlton Hotel,Guangzhou (CN),181.5,39,2007,concrete,hotel,China
2 Financial Town T2,Chongqing (CN),181.3,37,2014,concrete,office,China
Convention Plaza Office Tower,Hong Kong (CN),181.3,50,1990,,office,China
The Pavilia Bay Tower 1,Hong Kong (CN),181.2,51,2018,concrete,residential,China
UNI-Center Tower 1,Shenzhen (CN),181.2,50,2017,concrete,residential,China
UNI-Center Tower 3,Shenzhen (CN),181.2,50,2017,concrete,residential,China
Electronics Science & Technology Building,Shenzhen (CN),181,45,2000,,office,China
Ciro's Plaza,Shanghai (CN),181,39,2002,concrete,office,China
Liberte 1,Hong Kong (CN),180.9,51,2003,concrete,residential,China
Liberte 2,Hong Kong (CN),180.9,51,2003,concrete,residential,China
Liberte 3,Hong Kong (CN),180.9,51,2003,concrete,residential,China
Eton Shenyang Center #4,Shenyang (CN),180.8,53,2016,composite,residential,China
LOHAS Park Wings At Sea Tower 2,Hong Kong (CN),180.8,49,2017,concrete,residential,China
Hubei Energy Dispatching Building,Wuhan (CN),180.8,39,2017,,office,China
Immigration Tower,Hong Kong (CN),180.8,49,1990,,office,China
Revenue Tower,Hong Kong (CN),180.8,49,1990,,office,China
Chicony Electronics Headquarters,New Taipei City (CN),180.5,39,2015,steel,office,China
AIA Tower,Hong Kong (CN),180.3,44,1998,,office,China
Liberte 5,Hong Kong (CN),180.2,52,2003,concrete,residential,China
Liberte 6,Hong Kong (CN),180.2,52,2003,concrete,residential,China
8 Corporate Avenue,Chongqing (CN),180.2,37,2014,concrete,office,China
Shinmay Union Square I,Shanghai (CN),180.1,38,2005,,residential / office,China
Shinmay Union Square II,Shanghai (CN),180.1,38,2005,,hotel / office,China
Royal Bay Tower 10,Chengdu (CN),180,54,2015,,residential,China
Royal Bay Tower 12,Chengdu (CN),180,54,2015,,residential,China
Royal Bay Tower 13,Chengdu (CN),180,54,2015,,residential,China
"Asia International Hotel, Guangzhou",Guangzhou (CN),180,51,2001,,hotel,China
The Merton 3,Hong Kong (CN),180,51,2005,concrete,residential,China
Friendship Times Square Tower B,Shenyang (CN),180,50,2016,,residential,China
Zhidi Bldg. 1,Qingdao (CN),180,50,-,,residential,China
Zhidi Bldg. 2,Qingdao (CN),180,50,-,,residential,China
Residences Bel-Air Phase 6 8-9,Hong Kong (CN),180,49,2008,concrete,residential,China
Xintian CBC Tower B,Shenzhen (CN),180,49,2015,,residential,China
Residences Bel-Air Phase 6 6-7,Hong Kong (CN),180,48,2008,concrete,residential,China
The Manhattan Office Tower,Dalian (CN),180,48,2002,,office,China
Asian Packaging Center Mansion East Tower,Hangzhou (CN),180,47,2013,concrete,office,China
Green View Apartments R5,Shenzhen (CN),180,47,2016,concrete,residential,China
SOHO Apartment Building No.3,Zhanjiang (CN),180,47,2016,,residential,China
SOHO Apartment Building No.4,Zhanjiang (CN),180,47,2016,,residential,China
SOHO Apartment Building No.5,Zhanjiang (CN),180,47,2016,,residential,China
SOHO Apartment Building No.6,Zhanjiang (CN),180,47,2016,,residential,China
Puxi Wanda Plaza A,Quanzhou (CN),180,46,2012,,hotel / office,China
Puxi Wanda Plaza B,Quanzhou (CN),180,46,2012,,office,China
Chongqing 101 Mansion T2,Chongqing (CN),180,45,2019,concrete,serviced apartments / retail,China
Greenview Hongshuwan Yihao Tower A,Shenzhen (CN),180,45,2018,concrete,residential / hotel / office,China
Huamao Tower 3,Huizhou (CN),180,45,2016,,office,China
Xintian CBC Tower A,Shenzhen (CN),180,45,2015,,office,China
ZhongHang Building 1,Nanchang (CN),180,45,2011,,office,China
Great Wall Building,Shanghai (CN),180,44,2009,,office,China
8 Chang An Avenue,Beijing (CN),180,43,-,concrete,office,China
Century Galaxy,Chongqing (CN),180,43,2004,,office,China
Kunming Century Square,Kunming (CN),180,43,2008,,residential / hotel / office,China
Pudong Shangri-La Hotel Extension,Shanghai (CN),180,43,2005,concrete,residential / hotel,China
Taiyuan Center,Shenyang (CN),180,43,2013,,office,China
Asian Packaging Center Mansion West Tower,Hangzhou (CN),180,42,2013,concrete,office,China
Citigroup Tower,Shanghai (CN),180,41,2004,composite,office,China
Poly Tower V,Guangzhou (CN),180,40,2011,composite,office,China
The Bund Finance Center North,Shanghai (CN),180,40,2016,concrete,office,China
The Bund Finance Center South,Shanghai (CN),180,40,2016,concrete,office,China
Tobacco and Industrial Building,Chengdu (CN),180,40,-,,office,China
Yuecai Building,Guangzhou (CN),180,40,2008,,office,China
Bank of China Anhui Branch,Hefei (CN),180,39,2015,,office,China
Yuexiu City Plaza South Tower,Guangzhou (CN),180,39,2006,concrete,residential,China
Fengxian SME Building,Shanghai (CN),180,38,2016,concrete,office,China
Futian Technology Plaza Tower 2,Shenzhen (CN),180,37,2013,,office,China
Intercontinental Hotel Wuxi,Wuxi (CN),180,36,2011,,hotel,China
Nanchang Bank Financial Services Centre,Nanchang (CN),180,36,2013,,office,China
Shaanxi Telecom & Network Tower,Xi’an (CN),180,36,2004,,office,China
Great China IFC Block A,Shenzhen (CN),180,35,2011,,office,China
Shanghai Property Information Exchange Center,Shanghai (CN),180,35,2000,,office,China
Bank of Pansin Tower 1,(CN),180,34,2010,concrete,office,China
Keenstar Building,Shenzhen (CN),180,34,2020,,office,China
Hubei Power Bureau Building,Wuhan (CN),180,33,1997,,office,China
Jin Wan Plaza 3,Tianjin (CN),180,33,2013,concrete,office,China
Shenzhen Modern International Tower,Shenzhen (CN),180,33,2008,,office,China
Mirae Asset Tower,Shanghai (CN),180,32,2008,,office,China
Shanghai Securities Exchange Building,Shanghai (CN),180,26,1997,composite,office,China
Hangzhou Centre Tower C,Hangzhou (CN),180,-,2019,concrete,residential / office,China
Sinny Coast,Lianyungang (CN),180,-,-,,,China
Urumqi Greentown Square Tower B,Urumqi (CN),180,-,2018,,office,China
Urumqi Greentown Square Tower C,Urumqi (CN),180,-,2018,,office,China
Wanxiang City Tower 4,Hangzhou (CN),180,-,2014,concrete,residential,China
China Resources City Renfu Phase II Block F,Shenzhen (CN),179.9,54,2018,concrete,residential,China
Lerthai Center 1,Shijiazhuang (CN),179.9,29,2013,,office,China
Chengdu Renheng Fraser Suites,Chengdu (CN),179.9,40,2010,concrete,office,China
Banyan Garden 3,Hong Kong (CN),179.8,53,2003,concrete,residential,China
Powerlong Center Tower 2,Tianjin (CN),179.7,43,2017,composite,residential,China
People's Daily New Headquarters,Beijing (CN),179.7,33,2015,concrete,office,China
RenFun Business Mansion,Guangzhou (CN),179.6,42,2012,,office,China
The Pacifica 1,Hong Kong (CN),179.5,54,2005,concrete,residential,China
TD Tower Building,Hangzhou (CN),179.5,53,2016,,residential,China
The Riverside 1,Guangzhou (CN),179.4,50,2009,concrete,residential,China
The Riverside 2,Guangzhou (CN),179.4,50,2009,concrete,residential,China
LinJiang Mingting,Ningbo (CN),179.2,52,2004,,residential,China
Metropolitan Heights Tower 2,Tianjin (CN),179,53,2013,concrete,residential,China
Xinhua Daily Mansion,Nanjing (CN),179,50,2003,,office,China
Zhongshang Plaza,Wuhan (CN),179,47,1998,,office,China
Offices at Kerry Parkside,Shanghai (CN),179,43,2011,,office,China
Fairmont Hotel,Chengdu (CN),179,42,2016,,serviced apartments / hotel,China
Lanzhou Center Hilton Hotel,Lanzhou (CN),179,32,2018,concrete,hotel,China
Jiangsu News Center,Nanjing (CN),178.9,50,2003,,office,China
Fu Jia International Finance Centre,Shenyang (CN),178.9,45,2017,concrete,residential / office,China
UpperHills North Tower 1B,Shenzhen (CN),178.9,49,2015,concrete,residential,China
UpperHills North Tower 2B,Shenzhen (CN),178.9,49,2015,concrete,residential,China
China Merchants Bank,Shenzhen (CN),178.9,35,2018,composite,office,China
Hong Kong and Shanghai Banking Corporation Headquarters,Hong Kong (CN),178.8,43,1985,steel,office,China
Jardine House,Hong Kong (CN),178.5,52,1973,concrete,office,China
Kingkey Yujingfeng Mansion Block 3,Shenzhen (CN),178.5,57,2019,concrete,residential,China
Anhui Telecommunications Dispatching Center,Hefei (CN),178.4,39,1999,,office,China
One Excellence Tower 7,Shenzhen (CN),178.4,37,2018,,office,China
One Excellence Tower 8,Shenzhen (CN),178.4,37,2018,,office,China
Tianzijie International Condo,Chengdu (CN),178,55,2012,,residential,China
Hong Kong Macau Centre,Guangzhou (CN),178,51,1996,,multiple,China
China Resources Building,Hong Kong (CN),178,50,1983,concrete,office,China
Zhongmin Building,Xiamen (CN),178,44,2003,,office,China
Harbour Ring Plaza,Shanghai (CN),178,36,1998,,office,China
CC Tower,Guangzhou (CN),178,32,2005,,office,China
Golden Plaza,Taichung (CN),178,22,1999,,office / retail,China
Jin Sha Gang Wan 12#,Chongqing (CN),177.8,52,2006,concrete,residential,China
Jin Sha Gang Wan 13#,Chongqing (CN),177.8,52,2006,concrete,residential,China
Shimao Wulihe City 1#,Shenyang (CN),177.6,58,2011,concrete,residential,China
Shimao Wulihe City 4#,Shenyang (CN),177.6,58,2012,concrete,residential,China
Shimao Wulihe City 8#,Shenyang (CN),177.6,58,2014,concrete,residential,China
Shimao Wulihe City 9#,Shenyang (CN),177.6,58,2014,concrete,residential,China
Neo Sky Dome Tower C,(CN),177.6,43,2010,concrete,residential,China
Neo Sky Dome Tower D,(CN),177.6,43,2010,concrete,residential,China
Hongfa QCC Tower A,Shenzhen (CN),177.6,53,2018,concrete,residential,China
Hongfa QCC Tower B,Shenzhen (CN),177.6,53,2018,concrete,residential,China
Hongfa QCC Tower C,Shenzhen (CN),177.6,53,2018,concrete,residential,China
Hongfa QCC Tower D,Shenzhen (CN),177.6,53,2018,concrete,residential,China
Hongfa QCC Tower E,Shenzhen (CN),177.6,53,2018,concrete,residential,China
Hongfa QCC Tower F,Shenzhen (CN),177.6,53,2018,concrete,residential,China
Hongfa QCC Tower G,Shenzhen (CN),177.6,53,2018,concrete,residential,China
Guangxi International Trade Center Main Tower,Nanning (CN),177.2,45,2008,,office,China
Grand Waterfront 1-5,Hong Kong (CN),177,57,2007,concrete,residential,China
Grand Waterfront 6,Hong Kong (CN),177,57,2007,concrete,residential,China
The Oakhill,Hong Kong (CN),177,53,2011,concrete,residential,China
Azura,Hong Kong (CN),177,51,2012,concrete,residential,China
Primrose Hill Tower 1,Hong Kong (CN),177,51,2010,concrete,residential,China
New Century Plaza East Tower,Shenzhen (CN),177,45,2003,,office / hotel,China
China Mobile Building,Shenzhen (CN),177,40,2015,concrete,office,China
China Guangdong Nuclear Power South Tower,Shenzhen (CN),177,39,2015,,office,China
CMBC Tower,Shanghai (CN),177,39,2008,composite,office,China
Hongkong Prosperity Tower,Shanghai (CN),177,35,2010,,residential / hotel / office,China
Wanhui Centre T2,Chongqing (CN),177,-,2017,concrete,office / retail,China
Canton Fair Command Center,Guangzhou (CN),176.8,41,2009,,office,China
LOHAS Park Wings At Sea Tower 1,Hong Kong (CN),176.6,48,2017,concrete,residential,China
Vanke Yun Cloud City Tower 8,Shenzhen (CN),176.5,44,2018,,office,China
Shin Kong Place T1,Chongqing (CN),176.3,37,2017,concrete,office,China
Shin Kong Place T2,Chongqing (CN),176.3,37,2017,concrete,office,China
Shenyang New World Center Tower D,Shenyang (CN),176.2,42,2017,concrete,serviced apartments,China
Far East Finance Centre,Hong Kong (CN),176.1,48,1982,steel,office,China
Phase I Residential Tower 1B,Changsha (CN),176,51,2015,concrete,residential,China
The Metropolis 1,Chengdu (CN),176,51,2013,,residential,China
The Metropolis 2,Chengdu (CN),176,51,2013,,residential,China
Truroll Plaza,Wuhan (CN),176,47,1996,,office,China
Future Plaza Office Tower 1,Chengdu (CN),176,46,2014,,office,China
Future Plaza Office Tower 2,Chengdu (CN),176,46,2014,,office,China
NEO Tower B,Shenzhen (CN),176,42,2010,,office,China
One Kowloon,Hong Kong (CN),176,39,2007,,office,China
Hongwell International Plaza,Changchun (CN),176,38,2016,,hotel / office,China
World Trade Center GTC,Changchun (CN),176,36,2018,,office,China
Chongqing Nationality Plaza B,Chongqing (CN),175.6,43,1998,concrete,hotel,China
Billionaire Royale,Hong Kong (CN),175.5,54,2010,concrete,residential,China
Junlin Haiyu Phase II,Shenzhen (CN),175.5,45,2016,,residential / hotel,China
Kingkey Yujingfeng Mansion Block 1,Shenzhen (CN),175.5,56,2019,concrete,residential,China
Kingkey Yujingfeng Mansion Block 2,Shenzhen (CN),175.5,56,2019,concrete,residential,China
Pearl River International Building,Guangzhou (CN),175.1,45,2010,,office,China
Oscar by the Sea Tower 5,Hong Kong (CN),175.1,59,2002,concrete,residential,China
Chunshui'an Donghu Tianyu Phase 1 T1,Wuhan (CN),175,57,2015,concrete,residential,China
Chunshui'an Donghu Tianyu Phase 1 T2,Wuhan (CN),175,57,2015,concrete,residential,China
Yantai Shimao No. 4,Yantai (CN),175,54,2011,concrete,residential,China
China Resources Shenzhen Bay Yuefu Phase 1 Tower 1,Shenzhen (CN),175,52,2017,concrete,residential,China
Vianni Cove 2,Hong Kong (CN),175,52,2003,concrete,residential,China
Vianni Cove 3,Hong Kong (CN),175,52,2003,concrete,residential,China
The Excellency 1,Chengdu (CN),175,51,2012,,residential,China
The Excellency 2,Chengdu (CN),175,51,2012,,residential,China
Coastal International Center Tower 1,Dalian (CN),175,50,2010,concrete,residential,China
Coastal International Center Tower 2,Dalian (CN),175,50,2010,concrete,residential,China
Coastal International Center Tower 3,Dalian (CN),175,50,2010,concrete,residential,China
Shimao Splendid Yangtze Tower 1,Wuhan (CN),175,50,2011,,office,China
Suzhou Henghe Plaza,Suzhou (CN),175,48,2000,,hotel / office / retail,China
R&F Center,Chengdu (CN),175,42,2008,,hotel / office,China
Enterprise Square 3,Hong Kong (CN),175,41,2004,concrete,office,China
Wanyin International 1,Hangzhou (CN),175,41,2010,composite,office,China
Westin Guangzhou Hotel,Guangzhou (CN),175,40,2007,,hotel,China
Crowne Plaza,Qingdao (CN),175,38,1998,,hotel,China
Wanda East Port Tower 2,Dalian (CN),175,38,2012,concrete,hotel,China
Cite du Ciel Tower A,Shenzhen (CN),175,48,2013,,residential / hotel,China
Cite du Ciel Tower B,Shenzhen (CN),175,48,2013,,residential / hotel,China
Tavistock II,Hong Kong (CN),175,46,1999,concrete,residential,China
Ocean Shores Tower 1-3,Hong Kong (CN),174.4,58,2001,concrete,residential,China
Ocean Shores Tower 15,Hong Kong (CN),174.4,58,2003,concrete,residential,China
Ocean Shores Tower 16-17,Hong Kong (CN),174.4,58,2003,concrete,residential,China
Ocean Shores Tower 5,Hong Kong (CN),174.4,58,2001,concrete,residential,China
Ocean Shores Tower 6,Hong Kong (CN),174.4,58,2001,concrete,residential,China
Ocean Shores Tower 7,Hong Kong (CN),174.4,58,2002,concrete,residential,China
Ocean Shores Tower 8,Hong Kong (CN),174.4,58,2002,concrete,residential,China
Ocean Shores Tower 9-10,Hong Kong (CN),174.4,58,2002,concrete,residential,China
Sham Wan Towers 3,Hong Kong (CN),174.3,52,2003,concrete,residential,China
The Legend Tower 1,Hong Kong (CN),174.3,52,2006,concrete,residential,China
The Legend Tower 2,Hong Kong (CN),174.3,52,2006,concrete,residential,China
The Legend Towers 3 and 5,Hong Kong (CN),174.3,52,2006,concrete,residential,China
18 Farm Road,Hong Kong (CN),174.3,48,2004,concrete,residential,China
COFCO Xiangyun Longyu Block 2A,Shenzhen (),174.1,40,2018,,office,China
Century Jiangshang Tower 1,Wuhan (CN),174,57,2016,concrete,residential,China
Century Jiangshang Tower 2,Wuhan (CN),174,57,2016,concrete,residential,China
Century Jiangshang Tower 3,Wuhan (CN),174,57,2016,concrete,residential,China
Century Jiangshang Tower 4,Wuhan (CN),174,57,2016,concrete,residential,China
Century Jiangshang Tower 5,Wuhan (CN),174,57,2016,concrete,residential,China
